Item Number,Description,MSC#,Item Group,Item Sub Group,Supplier,Supplier Part Number,Brand,Unit Cost
1393,1.0000 -65mm Collet,,65MM COLLETS,65MM COLLETS_Round,,,,0
1394,.2756 (7mm) -65mm Collet,,65MM COLLETS,65MM COLLETS_Round,,,,0
1395,2.3750 -65mm Collet,,65MM COLLETS,65MM COLLETS_Round,,,,0
1396,2.5000 -65mm Collet,,65MM COLLETS,65MM COLLETS_Round,,,,0
1397,1.3120 -65mm Collet,,65MM COLLETS,65MM COLLETS_Round,,,,0
1398,.8661 (22mm) -65mm Collet,,65MM COLLETS,65MM COLLETS_Round,,,,0
1399,1.6250 -65mm Collet,,65MM COLLETS,65MM COLLETS_Round,,,,0
1400,2.0000 -65mm Serrated Collet,,65MM COLLETS,65MM COLLETS_Serrated,,,,0
1401,.8120 -65mm Collet,,65MM COLLETS,65MM COLLETS_Round,,,,0
1402,80mm Machinable Collet Blank,Microcentric,80MM COLLETS,80MM COLLETS_Blank,Central,19-780-100,Microcentric,0
1403,65mm Machinable Collet Blank,,65MM COLLETS,65MM COLLETS_Blank,,,,0
1404,Kennametal - WNMG432 RP KCU10 Grade Carbide Turning Insert,93948057,,,MSC,,,15.14
1405,Kennametal - VNMG331 FP KCU10 Grade Carbide Turning Insert,69257509,,,MSC,,,21.03
1406,0.3750 Kennametal - 2649374 - Screw Machine Length Drill Bits | Series/List: B976 | Drill Bit Size (mm): 9.53,5276340,,,MSC,,,91.22
1407,"0.5000 1/2 Inch Diameter, 3-1/4 Inch Length of Cut, 3 Flutes, Solid Carbide Single End Square End Mill",65250243,,,MSC,,,148.96
1408,Spade Drill Inserts | Series Name: T-A | Series Code/Seat Size: 1,8072209,,,MSC,,,51.99
1409,0.2815 Made in USA - Chucking Reamers | Reamer Diameter (Decimal Inch): 0.2815 | Dowel Pin Reamer (Yes/No): No,72028152,Milling,ChamferMills,MSC,,,42.98
1410,Iscar - 2300524 - Indexable Cut-Off Blades | Single or Double End: Double | Cutting Direction: Right Hand,60821188,,,MSC,,Iscar,116.34
1411,0.5276 - OSG - 8631340 - Screw Machine Length Drill Bits | Series/List: 5500 | Drill Bit Size (Decimal Inch): 0.5276,50979996,,,MSC,,OSG,165.85
1412,Dorian Tool - 73310195446 - Milling Inserts | Material: Carbide | Insert Style: TDEX,331967,IndexableCuttingTools,MillingInserts,MSC,,Dorian,17.81
1413,0.1875 - Accupro - Ball End Mills | Mill Diameter (Inch): 3/16 | Number of Flutes: 4,60339322,,,MSC,,Accupro,34.96
1414,0.5000 - Kennametal - 2654531 - Roughing End Mills | Mill Diameter (mm): 12.70 | Mill Diameter (Inch): 1/2,3209442,,,MSC,,KENNAMETAL,69.45
1415,20MM - 65BZI Collet - Round Smooth,,65MM COLLETS,,Central,,Microcentirc,0
1416,0.3750 - Guhring DIVER - 9067570095200 - Corner Radius & Corner Chamfer End Mills | Mill Diameter (Inch): 3/8 | End Type: Corner Chamfer,56152051,,,MSC,,GUHRING,48.72
